Temperatur;Date Time
19.75;2022-02-01 10:59:26.918004700
20.0;2022-02-01 11:45:49.472618900
20.25;2022-02-01 11:45:52.450410600
20.0;2022-02-01 11:48:16.252905300
20.25;2022-02-01 11:49:37.860204800
20.0;2022-02-01 12:03:21.943974100
20.5;2022-02-01 12:47:26.963647300
-300.0;2022-02-01 12:47:35.786159400
20.75;2022-02-01 12:47:38.727849300
-300.0;2022-02-01 12:48:16.015636700
20.75;2022-02-01 12:48:18.977896800
20.5;2022-02-01 12:50:24.107366
-300.0;2022-02-01 12:50:26.955173800
20.75;2022-02-01 12:50:29.915911500
-300.0;2022-02-01 12:50:41.452397200
20.75;2022-02-01 12:50:44.334778600
-300.0;2022-02-01 12:51:39.790774400
20.75;2022-02-01 12:51:42.635743400
-300.0;2022-02-01 12:51:54.334772
20.75;2022-02-01 12:51:57.134552200
-300.0;2022-02-01 12:52:49.046703400
20.75;2022-02-01 12:52:51.858554800
-300.0;2022-02-01 12:53:29.014953200
20.75;2022-02-01 12:53:31.780163900
-300.0;2022-02-01 12:53:54.570837300
20.75;2022-02-01 12:53:57.433576600
-300.0;2022-02-01 12:54:20.075164300
20.75;2022-02-01 12:54:22.903673400
21.0;2022-02-01 12:54:34.353827500
20.75;2022-02-01 12:54:37.221215600
