Temperature;Date;Time
-300.0;2021-10-15;11:20:08.046495100
20.5;2021-10-15;11:20:09.871424900
-300.0;2021-10-15;11:20:11.692479900
20.5;2021-10-15;11:20:13.502574100
-300.0;2021-10-15;11:20:15.350638100
20.5;2021-10-15;11:20:17.160718700
-300.0;2021-10-15;11:20:19.056255900
20.5;2021-10-15;11:20:20.864455200
-300.0;2021-10-15;11:20:22.661000700
20.5;2021-10-15;11:20:24.463920900
-300.0;2021-10-15;11:20:26.293501
20.5;2021-10-15;11:20:28.101375500
-300.0;2021-10-15;11:20:29.916350400
20.5;2021-10-15;11:20:31.742202700
-300.0;2021-10-15;11:20:33.562713
20.5;2021-10-15;11:20:35.392623200
-300.0;2021-10-15;11:20:37.211697700
20.5;2021-10-15;11:20:39.043030200
-300.0;2021-10-15;11:20:40.861761300
20.5;2021-10-15;11:20:42.677594
-300.0;2021-10-15;11:20:44.491198600
20.5;2021-10-15;11:20:46.301451600
-300.0;2021-10-15;11:20:48.121414300
20.5;2021-10-15;11:20:49.941735200
-300.0;2021-10-15;11:20:51.752898
20.5;2021-10-15;11:20:53.561932800
-300.0;2021-10-15;11:20:55.392012
20.5;2021-10-15;11:20:57.251330
-300.0;2021-10-15;11:20:59.074547300
20.5;2021-10-15;11:21:00.912697700
-300.0;2021-10-15;11:21:02.721936600
20.5;2021-10-15;11:21:04.531711300
-300.0;2021-10-15;11:21:06.360928300
20.5;2021-10-15;11:21:08.190914800
-300.0;2021-10-15;11:21:10.000573200
20.5;2021-10-15;11:21:11.810675100
-300.0;2021-10-15;11:21:13.698672900
20.5;2021-10-15;11:21:15.527009700
-300.0;2021-10-15;11:21:17.230206800
20.5;2021-10-15;11:21:19.050536600
-300.0;2021-10-15;11:21:20.835428800
20.5;2021-10-15;11:21:22.666320200
-300.0;2021-10-15;11:21:24.481220900
20.5;2021-10-15;11:21:26.300439900
-300.0;2021-10-15;11:21:28.122173700
20.5;2021-10-15;11:21:29.930134400
-300.0;2021-10-15;11:21:31.750073800
20.5;2021-10-15;11:21:33.570440900
20.5;2021-10-15;11:21:35.397201
20.5;2021-10-15;11:21:37.209913100
-300.0;2021-10-15;11:21:39.076625100
20.5;2021-10-15;11:21:40.909739400
-300.0;2021-10-15;11:21:42.748856500
20.5;2021-10-15;11:21:44.573440500
-300.0;2021-10-15;11:21:46.369493300
20.5;2021-10-15;11:21:48.180854800
-300.0;2021-10-15;11:21:50.040170100
20.5;2021-10-15;11:21:51.860329700
-300.0;2021-10-15;11:21:53.690825500
20.5;2021-10-15;11:21:55.508706900
-300.0;2021-10-15;11:21:57.335282300
20.5;2021-10-15;11:21:59.171121300
-300.0;2021-10-15;11:22:00.994079300
20.5;2021-10-15;11:22:02.819676200
-300.0;2021-10-15;11:22:04.638607400
20.5;2021-10-15;11:22:06.430018200
-300.0;2021-10-15;11:22:08.232665100
20.5;2021-10-15;11:22:10.055554700
-300.0;2021-10-15;11:22:11.869407100
20.5;2021-10-15;11:22:13.702690900
-300.0;2021-10-15;11:22:15.526279800
20.5;2021-10-15;11:22:17.349282
-300.0;2021-10-15;11:22:19.182266900
20.5;2021-10-15;11:22:20.984208700
-300.0;2021-10-15;11:22:22.780355100
20.5;2021-10-15;11:22:24.602358100
-300.0;2021-10-15;11:22:26.417352900
20.5;2021-10-15;11:22:28.224882800
-300.0;2021-10-15;11:22:30.032911900
20.5;2021-10-15;11:22:31.852979500
20.5;2021-10-15;11:22:33.689041200
20.5;2021-10-15;11:22:35.538139200
-300.0;2021-10-15;11:22:37.339683100
20.5;2021-10-15;11:22:39.170562100
20.75;2021-10-15;11:44:44.638088300
21.0;2021-10-15;11:44:46.494324300
21.0;2021-10-15;11:44:48.315658300
21.0;2021-10-15;11:44:50.139571300
21.25;2021-10-15;11:44:51.966651400
21.0;2021-10-15;11:44:53.795651300
21.25;2021-10-15;11:44:55.667390100
21.0;2021-10-15;11:44:57.503389200
21.0;2021-10-15;11:44:59.326453400
21.0;2021-10-15;11:45:01.155543400
21.25;2021-10-15;11:45:03.000578100
21.25;2021-10-15;11:45:04.822630400
21.25;2021-10-15;11:45:06.684982700
21.25;2021-10-15;11:45:08.507984100
21.25;2021-10-15;11:45:10.328143800
21.25;2021-10-15;11:45:12.148517100
22.0;2021-10-15;11:45:13.944909800
23.0;2021-10-15;11:46:09.551082800
-300.0;2021-10-15;11:46:11.374950800
23.5;2021-10-15;11:46:13.286068800
-300.0;2021-10-15;11:46:14.966591700
21.75;2021-10-15;12:39:10.040469
