Temperatur;Date Time
21.25;2022-02-01 10:59:28.880486200
21.5;2022-02-01 11:45:54.426612900
21.25;2022-02-01 11:49:36.820797500
21.75;2022-02-01 12:47:28.928894400
22.0;2022-02-01 12:47:34.930959600
-300.0;2022-02-01 12:48:12.310888100
22.0;2022-02-01 12:48:15.122120400
22.25;2022-02-01 12:48:52.077658200
22.0;2022-02-01 12:48:54.852239
-300.0;2022-02-01 12:49:03.183450500
22.0;2022-02-01 12:49:06.266075300
22.25;2022-02-01 12:49:20.215111900
22.0;2022-02-01 12:49:23.085818600
21.75;2022-02-01 12:50:26.076248500
22.0;2022-02-01 12:50:29.015577700
-300.0;2022-02-01 12:51:03.367420600
22.0;2022-02-01 12:51:06.296616600
-300.0;2022-02-01 12:51:21.504856300
22.0;2022-02-01 12:51:24.505595800
-300.0;2022-02-01 12:52:45.250585300
22.0;2022-02-01 12:52:48.125683500
-300.0;2022-02-01 12:53:10.973594100
22.0;2022-02-01 12:53:13.855959700
-300.0;2022-02-01 12:53:50.930212100
22.0;2022-02-01 12:53:53.724570500
22.25;2022-02-01 12:54:16.325695600
22.0;2022-02-01 12:54:22.013653300
21.75;2022-02-01 13:04:15.721323300
-300.0;2022-02-01 13:04:17.423181400
21.75;2022-02-01 13:04:37.259654800
22.0;2022-02-01 13:04:39.126844100
21.75;2022-02-01 13:06:21.158816100
-300.0;2022-02-01 13:06:23.079319900
22.0;2022-02-01 13:06:24.971093700
-300.0;2022-02-01 13:06:26.658212300
22.0;2022-02-01 13:06:28.491844400
-300.0;2022-02-01 13:06:30.428536500
22.0;2022-02-01 13:06:31.828245500
-300.0;2022-02-01 13:06:41.307584
22.0;2022-02-01 13:06:42.679788100
21.75;2022-02-01 13:07:09.033534700
22.0;2022-02-01 13:07:10.418576100
21.75;2022-02-01 13:12:51.636726400
22.0;2022-02-01 13:12:54.426395300
