Temperature;Date Time
19.5;2021-11-18 13:21:30.503320200
19.75;2021-11-18 13:21:33.156434500
-300.0;2021-11-18 13:21:57.137891100
19.5;2021-11-18 13:22:15.692675700
19.75;2021-11-18 13:22:23.650493800
20.0;2021-11-18 13:22:34.287570900
-300.0;2021-11-18 13:23:43.698673
20.0;2021-11-18 13:23:46.391783500
-300.0;2021-11-18 13:24:23.735332700
20.0;2021-11-18 13:24:26.399591400
-300.0;2021-11-18 13:25:03.791472
20.0;2021-11-18 13:25:06.431475200
19.75;2021-11-18 13:25:35.720328100
20.0;2021-11-18 13:25:38.418335800
19.75;2021-11-18 13:25:41.079790
-300.0;2021-11-18 13:25:43.772385600
20.0;2021-11-18 13:25:46.439319800
19.75;2021-11-18 13:25:49.089373500
-300.0;2021-11-18 13:26:12.894078300
19.75;2021-11-18 13:26:25.306954200
-300.0;2021-11-18 13:27:28.034381100
19.75;2021-11-18 13:27:38.038694400
-300.0;2021-11-18 13:28:27.476289600
19.75;2021-11-18 13:28:29.110397
20.0;2021-11-18 13:28:48.715930200
19.75;2021-11-18 13:28:58.609669600
-300.0;2021-11-18 13:29:00.106787500
19.75;2021-11-18 13:29:01.727921100
-300.0;2021-11-18 13:29:14.718802400
19.75;2021-11-18 13:29:16.350871600
-300.0;2021-11-18 13:29:47.466087900
19.75;2021-11-18 13:29:49.076191200
-300.0;2021-11-18 13:30:20.361675100
19.75;2021-11-18 13:30:22.112409100
-300.0;2021-11-18 13:30:34.993670500
19.75;2021-11-18 13:30:36.595712900
-300.0;2021-11-18 13:30:49.665451600
19.75;2021-11-18 13:30:51.310514300
-300.0;2021-11-18 13:31:07.760521300
19.75;2021-11-18 13:31:09.390088600
-300.0;2021-11-18 13:31:22.355219600
19.75;2021-11-18 13:31:23.986218100
-300.0;2021-11-18 13:31:37.132919300
19.75;2021-11-18 13:31:38.746967500
-300.0;2021-11-18 13:31:55.171656200
19.75;2021-11-18 13:31:56.800658900
-300.0;2021-11-18 13:33:00.682497900
19.75;2021-11-18 13:33:02.333574200
-300.0;2021-11-18 13:33:08.914346500
19.75;2021-11-18 13:33:12.145414600
-300.0;2021-11-18 13:33:15.308414500
19.75;2021-11-18 13:33:16.955415900
-300.0;2021-11-18 13:33:48.090149400
19.75;2021-11-18 13:33:49.742210400
-300.0;2021-11-18 13:34:39.150458200
19.75;2021-11-18 13:34:40.771526700
-300.0;2021-11-18 13:35:11.825907800
19.75;2021-11-18 13:35:13.556905100
-300.0;2021-11-18 13:35:44.710515300
19.75;2021-11-18 13:35:46.328506400
-300.0;2021-11-18 13:36:02.959658700
19.75;2021-11-18 13:36:04.577666500
-300.0;2021-11-18 13:36:17.319137400
19.75;2021-11-18 13:36:18.931137500
-300.0;2021-11-18 13:36:32.182696700
19.75;2021-11-18 13:36:33.816764600
-300.0;2021-11-18 13:36:53.847905
19.75;2021-11-18 13:36:55.518031800
-300.0;2021-11-18 13:37:30.313666100
19.75;2021-11-18 13:37:32.425665400
-300.0;2021-11-18 13:40:53.992690500
19.75;2021-11-18 13:40:56.090697800
-300.0;2021-11-18 13:41:19.557460400
19.75;2021-11-18 13:41:21.681469800
-300.0;2021-11-18 13:41:28.049914500
19.75;2021-11-18 13:43:37.205729600
-300.0;2021-11-18 13:43:39.232008900
20.0;2021-11-18 13:43:41.424139100
-300.0;2021-11-18 13:43:56.250175400
20.0;2021-11-18 13:43:58.416281
20.25;2021-11-18 13:44:02.704326
20.0;2021-11-18 13:44:04.817408700
20.25;2021-11-18 13:44:07.011557300
20.0;2021-11-18 13:44:09.108733
20.25;2021-11-18 13:44:17.701273100
20.0;2021-11-18 13:44:19.831361300
-300.0;2021-11-18 13:44:32.603694900
20.0;2021-11-18 13:44:34.693696
-300.0;2021-11-18 13:44:58.208315200
20.0;2021-11-18 13:45:00.359303600
-300.0;2021-11-18 13:45:09.135400900
20.0;2021-11-18 13:45:11.280560600
19.75;2021-11-18 13:46:12.282514800
-300.0;2021-11-18 13:46:14.391576100
20.0;2021-11-18 13:46:16.522578500
19.75;2021-11-18 13:46:25.139581900
20.0;2021-11-18 13:46:27.263624600
19.75;2021-11-18 13:46:38.174541100
20.0;2021-11-18 13:46:40.289631200
-300.0;2021-11-18 13:46:46.650612700
19.75;2021-11-18 13:57:55.338694100
-300.0;2021-11-18 13:58:18.692465100
19.75;2021-11-18 13:58:20.846564100
-300.0;2021-11-18 13:59:09.850469100
19.75;2021-11-18 13:59:11.928512100
