Temperatur;Date Time
19.75;2022-02-01 10:59:28.389307900
-300.0;2022-02-01 10:59:40.562238500
19.75;2022-02-01 10:59:43.679654200
19.5;2022-02-01 11:45:50.969733700
20.25;2022-02-01 12:47:28.442386300
-300.0;2022-02-01 12:47:43.047049600
20.25;2022-02-01 12:47:45.927035
-300.0;2022-02-01 12:48:08.747598600
20.25;2022-02-01 12:48:11.815887700
-300.0;2022-02-01 12:48:23.314349300
20.25;2022-02-01 12:48:26.127679800
-300.0;2022-02-01 12:48:48.790408100
20.25;2022-02-01 12:48:51.596349100
-300.0;2022-02-01 12:49:14.136037
20.25;2022-02-01 12:49:16.953250
-300.0;2022-02-01 12:50:34.207641700
20.25;2022-02-01 12:50:37.041105200
-300.0;2022-02-01 12:50:48.689503200
20.25;2022-02-01 12:50:51.525995100
-300.0;2022-02-01 12:51:17.908951
20.25;2022-02-01 12:51:20.986837100
-300.0;2022-02-01 12:51:47.067166400
20.25;2022-02-01 12:51:49.998137900
-300.0;2022-02-01 12:52:01.606870100
20.25;2022-02-01 12:52:04.493304700
-300.0;2022-02-01 12:52:16.135121900
20.25;2022-02-01 12:52:19.010346
-300.0;2022-02-01 12:52:56.236008900
20.25;2022-02-01 12:52:59.093812800
-300.0;2022-02-01 12:53:21.869408800
20.25;2022-02-01 12:53:24.703225
-300.0;2022-02-01 12:54:27.396247200
20.25;2022-02-01 12:54:30.200127600
