Temperature;Date;Time
24.25;2021-10-15;13:08:02.307172700
24.25;2021-10-15;13:08:07.005662974
24.25;2021-10-15;13:08:10.304805725
24.25;2021-10-15;13:08:13.106775616
24.25;2021-10-15;13:08:17.855893528
24.25;2021-10-15;13:08:21.126311973
24.25;2021-10-15;13:08:24.845538556
24.25;2021-10-15;13:08:28.586366847
24.25;2021-10-15;13:08:33.405188156
24.25;2021-10-15;13:08:36.155953038
24.25;2021-10-15;13:08:40.014092046
24.25;2021-10-15;13:08:44.144338399
24.25;2021-10-15;13:08:48.346322432
24.25;2021-10-15;13:08:51.193895214
24.25;2021-10-15;13:08:55.415593037
-300.0;2021-10-15;13:09:00.013819258
24.25;2021-10-15;13:09:04.324063517
24.25;2021-10-15;13:09:08.144798306
24.25;2021-10-15;13:09:10.455365880
-300.0;2021-10-15;13:09:14.766664292
24.25;2021-10-15;13:09:19.513549345
24.25;2021-10-15;13:09:23.264794138
24.25;2021-10-15;13:09:26.524721410
24.25;2021-10-15;13:09:29.784415186
24.0;2021-10-15;13:09:34.507200954
24.25;2021-10-15;13:09:37.284826395
24.25;2021-10-15;13:09:41.044524253
24.25;2021-10-15;13:09:44.316028112
24.25;2021-10-15;13:09:47.094950205
24.25;2021-10-15;13:09:52.293907334
24.25;2021-10-15;13:09:56.112752071
24.25;2021-10-15;13:10:02.323981979
24.25;2021-10-15;13:10:07.004908321
-300.0;2021-10-15;13:10:09.345754567
24.25;2021-10-15;13:10:14.034616842
24.25;2021-10-15;13:10:17.333876187
24.25;2021-10-15;13:10:20.672074595
24.25;2021-10-15;13:10:24.494170743
24.25;2021-10-15;13:10:28.252531425
24.25;2021-10-15;13:10:32.453771129
-300.0;2021-10-15;13:10:34.863079787
24.25;2021-10-15;13:10:39.141777305
-300.0;2021-10-15;13:10:45.736075145
24.25;2021-10-15;13:10:51.394195133
24.25;2021-10-15;13:10:55.302735693
24.25;2021-10-15;13:10:57.175779801
24.0;2021-10-15;13:11:01.003333450
24.25;2021-10-15;13:11:05.221594771
24.25;2021-10-15;13:11:08.975635031
24.25;2021-10-15;13:11:13.775794144
24.25;2021-10-15;13:11:18.103501068
24.25;2021-10-15;13:11:20.901069249
24.25;2021-10-15;13:11:23.712421666
24.25;2021-10-15;13:11:27.492683244
24.0;2021-10-15;13:11:32.302634801
24.25;2021-10-15;13:11:36.953066719
24.25;2021-10-15;13:11:38.794690851
24.25;2021-10-15;13:11:44.373543082
24.25;2021-10-15;13:11:48.112754595
24.25;2021-10-15;13:11:50.422984173
-300.0;2021-10-15;13:11:55.000206422
24.25;2021-10-15;13:11:58.293786033
24.25;2021-10-15;13:12:03.092808696
