Temperature;Date;Time
27.5;2021-10-15;13:07:34.688291117
27.5;2021-10-15;13:07:39.505153127
27.5;2021-10-15;13:07:42.816433128
27.5;2021-10-15;13:07:46.635464260
27.5;2021-10-15;13:07:49.915589586
27.5;2021-10-15;13:07:54.205862391
27.25;2021-10-15;13:07:58.044490359
27.5;2021-10-15;13:08:01.347026807
27.5;2021-10-15;13:08:05.096848667
27.5;2021-10-15;13:08:08.856260116
27.5;2021-10-15;13:08:13.575459212
27.5;2021-10-15;13:08:18.344450180
27.5;2021-10-15;13:08:20.176142202
27.5;2021-10-15;13:08:23.905609033
27.5;2021-10-15;13:08:27.645613219
27.5;2021-10-15;13:08:31.495410883
27.5;2021-10-15;13:08:35.215579583
27.5;2021-10-15;13:08:39.513425407
27.5;2021-10-15;13:08:44.615252150
27.5;2021-10-15;13:08:49.318738445
27.5;2021-10-15;13:08:52.605879811
-300.0;2021-10-15;13:08:56.364036710
27.5;2021-10-15;13:09:00.497030416
27.5;2021-10-15;13:09:03.284629115
27.5;2021-10-15;13:09:07.672832740
27.5;2021-10-15;13:09:10.946512591
27.5;2021-10-15;13:09:15.264444447
27.5;2021-10-15;13:09:18.534692352
27.5;2021-10-15;13:09:21.355129608
27.5;2021-10-15;13:09:25.115918854
27.5;2021-10-15;13:09:30.743533771
27.5;2021-10-15;13:09:33.064354564
27.5;2021-10-15;13:09:37.773554568
-300.0;2021-10-15;13:09:40.094890883
27.5;2021-10-15;13:09:45.255253526
27.5;2021-10-15;13:09:47.563979747
27.5;2021-10-15;13:09:50.844350577
27.5;2021-10-15;13:09:56.585493695
27.5;2021-10-15;13:09:58.922436256
27.5;2021-10-15;13:10:03.264093042
27.5;2021-10-15;13:10:06.064537790
27.5;2021-10-15;13:10:10.792811412
27.5;2021-10-15;13:10:13.084106623
27.5;2021-10-15;13:10:15.883619960
27.5;2021-10-15;13:10:21.144108963
27.5;2021-10-15;13:10:23.473276045
27.5;2021-10-15;13:10:27.764406193
-300.0;2021-10-15;13:10:31.046314157
27.5;2021-10-15;13:10:35.333891703
